Datetime,Open,High,Low,Close,Volume,Spread,RealVolume,Bid,Ask
2025.05.04 12:55,3202.4570,3204.3000,3202.4570,3204.3000,288,0.0293,0,3228.1820,3228.4750
2025.05.04 13:00,3204.3050,3205.2190,3203.0930,3203.9350,288,0.0293,0,3228.1820,3228.4750
2025.05.04 13:05,3203.9470,3205.8190,3203.9470,3205.8190,286,0.0293,0,3228.1820,3228.4750
2025.05.04 13:10,3205.8220,3207.6620,3205.8220,3207.6620,280,0.0293,0,3228.1820,3228.4750
2025.05.04 13:15,3207.6710,3209.4770,3207.6710,3209.4770,281,0.0293,0,3228.1820,3228.4750
2025.05.04 13:20,3209.4790,3211.6100,3209.4790,3211.6100,293,0.0293,0,3228.1820,3228.4750
2025.05.04 13:25,3211.6120,3211.7610,3204.9430,3206.5660,284,0.0293,0,3228.1820,3228.4750
2025.05.04 13:30,3206.5770,3208.4810,3206.5770,3208.4810,286,0.0293,0,3228.1820,3228.4750
2025.05.04 13:35,3208.4840,3210.4560,3208.4840,3210.4560,288,0.0293,0,3228.1820,3228.4750
2025.05.04 13:40,3210.4620,3212.4200,3210.4620,3212.4200,287,0.0293,0,3228.1820,3228.4750
2025.05.04 13:45,3212.4380,3214.2850,3212.4380,3214.2850,291,0.0293,0,3228.1820,3228.4750
2025.05.04 13:50,3214.2880,3216.2560,3214.2880,3216.2560,288,0.0293,0,3228.1820,3228.4750
2025.05.04 13:55,3216.2610,3217.7600,3212.4660,3212.7660,287,0.0293,0,3228.1820,3228.4750
2025.05.04 14:00,3212.7700,3213.0040,3211.2940,3212.8870,283,0.0293,0,3228.1820,3228.4750
2025.05.04 14:05,3212.8980,3214.5170,3204.8610,3205.0190,283,0.0293,0,3228.1820,3228.4750
2025.05.04 14:10,3205.0260,3207.0370,3205.0260,3207.0370,293,0.0293,0,3228.1820,3228.4750
2025.05.04 14:15,3207.0390,3207.3690,3201.2830,3202.9940,284,0.0293,0,3228.1820,3228.4750
