Datetime,Open,High,Low,Close,Volume,Spread,RealVolume,Bid,Ask
2025.05.04 15:05,130183.0700,130286.3500,130179.4600,130230.2400,299,0.1018,0,129527.0400,129537.2200
2025.05.04 15:10,130231.7600,130244.2800,130094.5800,130096.5200,300,0.1018,0,129527.0400,129537.2200
2025.05.04 15:15,130099.5500,130345.4600,130093.7400,130248.1000,300,0.1018,0,129527.0400,129537.2200
2025.05.04 15:20,130266.1100,130357.7100,130201.8500,130345.2000,300,0.1018,0,129527.0400,129537.2200
2025.05.04 15:25,130345.9600,130364.9400,130218.9600,130258.3600,300,0.1018,0,129527.0400,129537.2200
2025.05.04 15:30,130259.4800,130363.5600,130235.9800,130276.6300,300,0.1018,0,129527.0400,129537.2200
2025.05.04 15:35,130279.7200,130407.5800,130214.6200,130407.5800,299,0.1018,0,129527.0400,129537.2200
2025.05.04 15:40,130404.4300,130480.2000,130347.7100,130347.7100,300,0.1018,0,129527.0400,129537.2200
2025.05.04 15:45,130337.9700,130373.2000,130258.6900,130312.2700,300,0.1018,0,129527.0400,129537.2200
2025.05.04 15:50,130314.3400,130495.5100,130287.1100,130495.5100,300,0.1018,0,129527.0400,129537.2200
2025.05.04 15:55,130490.7900,130716.3600,130473.0000,130716.0500,299,0.1018,0,129527.0400,129537.2200
2025.05.04 16:00,130722.2600,130782.4100,130660.9700,130727.6100,300,0.1018,0,129527.0400,129537.2200
2025.05.04 16:05,130716.4100,130826.7400,130705.7500,130785.4200,300,0.1018,0,129527.0400,129537.2200
2025.05.04 16:10,130791.9100,130819.6700,130337.9600,130337.9600,300,0.1018,0,129527.0400,129537.2200
2025.05.04 16:15,130340.9200,130348.9700,130201.4400,130308.5400,299,0.1018,0,129527.0400,129537.2200
2025.05.04 16:20,130308.1600,130450.9400,130303.0300,130403.7900,300,0.1018,0,129527.0400,129537.2200
2025.05.04 16:25,130403.7000,130504.3500,130351.2000,130467.8600,300,0.1018,0,129527.0400,129537.2200
2025.05.04 16:30,130468.9600,130618.1500,130438.5800,130548.9600,300,0.1018,0,129527.0400,129537.2200
2025.05.04 16:35,130547.8000,130554.3300,130277.5400,130411.5300,300,0.1018,0,129527.0400,129537.2200
2025.05.04 16:40,130398.7900,130418.4700,130283.4500,130306.9500,300,0.1018,0,129527.0400,129537.2200
2025.05.04 16:45,130310.4600,130319.0500,130143.9300,130167.7000,300,0.1018,0,129527.0400,129537.2200
2025.05.04 16:50,130161.7800,130333.2100,130145.5500,130305.8000,300,0.1018,0,129527.0400,129537.2200
2025.05.04 16:55,130296.6800,130409.8800,130249.3400,130254.5100,300,0.1018,0,129527.0400,129537.2200
2025.05.04 17:00,130252.5400,130403.4800,130222.5200,130341.7000,300,0.1018,0,129527.0400,129537.2200
2025.05.04 17:05,130341.4300,130570.6300,130341.4300,130541.2500,299,0.1018,0,129527.0400,129537.2200
2025.05.04 17:10,130543.0500,130564.8500,130392.1200,130423.4600,300,0.1018,0,129527.0400,129537.2200
2025.05.04 17:15,130423.0500,130609.7200,130418.7700,130594.8600,300,0.1018,0,129527.0400,129537.2200
2025.05.04 17:20,130595.9700,130595.9700,130308.9300,130319.0400,300,0.1018,0,129527.0400,129537.2200
2025.05.04 17:25,130318.5700,130401.5200,130270.7700,130285.4900,300,0.1018,0,129527.0400,129537.2200
2025.05.04 17:30,130278.4200,130308.0500,130180.2200,130308.0500,299,0.1018,0,129527.0400,129537.2200
2025.05.04 17:35,130305.4500,130382.4200,130279.6200,130326.1100,299,0.1018,0,129527.0400,129537.2200
2025.05.04 17:40,130323.8300,130496.9100,130321.2400,130382.1700,299,0.1018,0,129527.0400,129537.2200
2025.05.04 17:45,130382.9800,130435.3800,130311.4200,130369.0700,300,0.1018,0,129527.0400,129537.2200
2025.05.04 17:50,130376.8400,130451.6300,130320.6200,130423.2000,300,0.1018,0,129527.0400,129537.2200
2025.05.04 17:55,130435.1800,130435.1800,130293.4600,130326.2800,300,0.1018,0,129527.0400,129537.2200
2025.05.04 18:00,130322.0000,130378.0200,130260.4700,130368.4500,300,0.1018,0,129527.0400,129537.2200
2025.05.04 18:05,130374.9700,130407.0800,130254.1400,130309.1200,299,0.1018,0,129527.0400,129537.2200
2025.05.04 18:10,130306.8500,130351.1600,129825.4900,129876.3400,299,0.1018,0,129527.0400,129537.2200
2025.05.04 18:15,129866.6900,129922.5800,129823.1500,129872.5600,300,0.1018,0,129527.0400,129537.2200
2025.05.04 18:20,129881.5000,129895.9200,129493.6800,129513.3400,300,0.1018,0,129527.0400,129537.2200
2025.05.04 18:25,129518.1800,129518.1800,129380.6500,129470.3600,300,0.1018,0,129527.0400,129537.2200
2025.05.04 18:30,129469.4100,129629.0600,129348.8800,129629.0600,300,0.1018,0,129527.0400,129537.2200
2025.05.04 18:35,129632.1400,129639.8000,129516.5100,129566.2100,300,0.1018,0,129527.0400,129537.2200
2025.05.04 18:40,129571.5200,129675.6400,129538.8100,129579.0700,300,0.1018,0,129527.0400,129537.2200
2025.05.04 18:45,129580.2400,129653.5600,129558.5900,129626.6100,300,0.1018,0,129527.0400,129537.2200
2025.05.04 18:50,129621.1600,129688.6200,129580.6400,129642.4500,300,0.1018,0,129527.0400,129537.2200
2025.05.04 18:55,129647.1900,129716.1800,129580.7700,129643.4500,300,0.1018,0,129527.0400,129537.2200
