Date,Open,High,Low,Close
2025.04.21 23:10,55535.00000,55535.00000,55525.00000,55530.00000
2025.04.21 23:11,55529.00000,55531.00000,55523.00000,55528.00000
2025.04.21 23:12,55529.00000,55536.00000,55522.00000,55526.00000
2025.04.21 23:13,55527.00000,55527.00000,55519.00000,55522.00000
2025.04.21 23:14,55523.00000,55531.00000,55521.00000,55530.00000
2025.04.21 23:15,55531.00000,55540.00000,55528.00000,55538.00000
2025.04.21 23:16,55539.00000,55541.00000,55524.00000,55526.00000
2025.04.21 23:17,55527.00000,55530.00000,55519.00000,55520.00000
2025.04.21 23:18,55519.00000,55525.00000,55519.00000,55522.00000
2025.04.21 23:19,55523.00000,55533.00000,55522.00000,55524.00000
2025.04.21 23:20,55525.00000,55533.00000,55521.00000,55528.00000
2025.04.21 23:21,55527.00000,55540.00000,55526.00000,55526.00000
2025.04.21 23:22,55525.00000,55526.00000,55519.00000,55524.00000
2025.04.21 23:23,55523.00000,55527.00000,55519.00000,55522.00000
2025.04.21 23:24,55521.00000,55525.00000,55519.00000,55520.00000
2025.04.21 23:25,55519.00000,55524.00000,55519.00000,55520.00000
2025.04.21 23:26,55519.00000,55529.00000,55519.00000,55526.00000
2025.04.21 23:27,55525.00000,55526.00000,55519.00000,55520.00000
2025.04.21 23:28,55519.00000,55523.00000,55519.00000,55520.00000
2025.04.21 23:29,55519.00000,55528.00000,55519.00000,55526.00000
2025.04.21 23:30,55527.00000,55537.00000,55524.00000,55536.00000
2025.04.21 23:31,55537.00000,55541.00000,55536.00000,55538.00000
2025.04.21 23:32,55537.00000,55541.00000,55524.00000,55524.00000
2025.04.21 23:33,55525.00000,55533.00000,55524.00000,55530.00000
2025.04.21 23:34,55529.00000,55532.00000,55526.00000,55532.00000
2025.04.21 23:35,55533.00000,55537.00000,55526.00000,55528.00000
2025.04.21 23:36,55527.00000,55527.00000,55442.00000,55444.00000
2025.04.21 23:37,55443.00000,55451.00000,55442.00000,55444.00000
2025.04.21 23:38,55445.00000,55452.00000,55442.00000,55450.00000
2025.04.21 23:39,55451.00000,55457.00000,55446.00000,55452.00000
2025.04.21 23:40,55453.00000,55459.00000,55450.00000,55452.00000
2025.04.21 23:41,55451.00000,55461.00000,55449.00000,55460.00000
2025.04.21 23:42,55461.00000,55461.00000,55450.00000,55450.00000
2025.04.21 23:43,55451.00000,55456.00000,55448.00000,55456.00000
2025.04.21 23:44,55457.00000,55469.00000,55457.00000,55462.00000
2025.04.21 23:45,55463.00000,55470.00000,55461.00000,55470.00000
2025.04.21 23:46,55469.00000,55483.00000,55469.00000,55482.00000
2025.04.21 23:47,55481.00000,55488.00000,55476.00000,55488.00000
2025.04.21 23:48,55489.00000,55498.00000,55488.00000,55496.00000
2025.04.21 23:49,55495.00000,55498.00000,55481.00000,55498.00000
2025.04.21 23:50,55499.00000,55506.00000,55494.00000,55494.00000
2025.04.21 23:51,55495.00000,55495.00000,55473.00000,55474.00000
2025.04.21 23:52,55475.00000,55493.00000,55472.00000,55488.00000
2025.04.21 23:53,55487.00000,55499.00000,55487.00000,55496.00000
2025.04.21 23:54,55497.00000,55506.00000,55497.00000,55504.00000
2025.04.21 23:55,55503.00000,55505.00000,55491.00000,55500.00000
2025.04.21 23:56,55501.00000,55503.00000,55484.00000,55486.00000
2025.04.21 23:57,55485.00000,55500.00000,55485.00000,55496.00000
2025.04.21 23:58,55497.00000,55506.00000,55497.00000,55506.00000
2025.04.21 23:59,55505.00000,55506.00000,55500.00000,55504.00000
2025.04.22 00:00,55505.00000,55506.00000,55501.00000,55506.00000
2025.04.22 00:01,55505.00000,55506.00000,55501.00000,55506.00000
2025.04.22 00:02,55505.00000,55506.00000,55499.00000,55502.00000
2025.04.22 00:03,55503.00000,55506.00000,55501.00000,55504.00000
2025.04.22 00:04,55503.00000,55506.00000,55486.00000,55486.00000
2025.04.22 00:05,55487.00000,55490.00000,55478.00000,55490.00000
2025.04.22 00:06,55491.00000,55492.00000,55484.00000,55484.00000
2025.04.22 00:07,55483.00000,55484.00000,55462.00000,55464.00000
2025.04.22 00:08,55465.00000,55477.00000,55463.00000,55468.00000
2025.04.22 00:09,55467.00000,55473.00000,55464.00000,55468.00000
2025.04.22 00:10,55467.00000,55467.00000,55467.00000,55467.00000
