Date,Open,High,Low,Close,Volume,Spread,RealVolume,Bid,Ask
2025.05.04 12:37,19676.2700,19676.2700,19674.9520,19674.9520,60,1.8870,0,19683.6250,19685.5120
2025.05.04 12:38,19674.8930,19674.8930,19673.7760,19673.7760,59,1.8870,0,19683.6250,19685.5120
2025.05.04 12:39,19673.7490,19673.7490,19672.4050,19672.4050,58,1.8870,0,19683.6250,19685.5120
2025.05.04 12:40,19672.3880,19672.3880,19671.2590,19671.2590,60,1.8870,0,19683.6250,19685.5120
2025.05.04 12:41,19671.2510,19671.2510,19670.1300,19670.1300,60,1.8870,0,19683.6250,19685.5120
2025.05.04 12:42,19670.1250,19670.1250,19668.9280,19668.9280,59,1.8870,0,19683.6250,19685.5120
2025.05.04 12:43,19668.9260,19668.9260,19667.7560,19667.7560,57,1.8870,0,19683.6250,19685.5120
2025.05.04 12:44,19667.7250,19667.7250,19666.4370,19666.4370,60,1.8870,0,19683.6250,19685.5120
2025.05.04 12:45,19666.4280,19666.4280,19665.2040,19665.2040,59,1.8870,0,19683.6250,19685.5120
2025.05.04 12:46,19665.1860,19665.1860,19663.8870,19663.8870,60,1.8870,0,19683.6250,19685.5120
2025.05.04 12:47,19663.8370,19663.8370,19662.7020,19662.7020,60,1.8870,0,19683.6250,19685.5120
2025.05.04 12:48,19662.6700,19662.6700,19661.4040,19661.4040,60,1.8870,0,19683.6250,19685.5120
2025.05.04 12:49,19661.3700,19661.3700,19660.1580,19660.1580,60,1.8870,0,19683.6250,19685.5120
2025.05.04 12:50,19660.1490,19660.1490,19658.8990,19658.8990,60,1.8870,0,19683.6250,19685.5120
2025.05.04 12:51,19658.8900,19658.8900,19657.6650,19657.6650,59,1.8870,0,19683.6250,19685.5120
2025.05.04 12:52,19657.6400,19657.6400,19656.5130,19656.5130,60,1.8870,0,19683.6250,19685.5120
2025.05.04 12:53,19656.4800,19656.4800,19655.3170,19655.3170,57,1.8870,0,19683.6250,19685.5120
2025.05.04 12:54,19655.2980,19655.2980,19654.1320,19654.1320,59,1.8870,0,19683.6250,19685.5120
2025.05.04 12:55,19654.1080,19654.1080,19652.7520,19652.7520,59,1.8870,0,19683.6250,19685.5120
2025.05.04 12:56,19652.7420,19652.7420,19651.6800,19651.6800,59,1.8870,0,19683.6250,19685.5120
2025.05.04 12:57,19651.6710,19651.6710,19650.5930,19650.5930,59,1.8870,0,19683.6250,19685.5120
2025.05.04 12:58,19650.5580,19650.5580,19649.4950,19649.4950,60,1.8870,0,19683.6250,19685.5120
2025.05.04 12:59,19649.4610,19649.4610,19648.3750,19648.3750,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:00,19648.3460,19648.3460,19647.1110,19647.1110,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:01,19647.1090,19647.1090,19646.0120,19646.0120,59,1.8870,0,19683.6250,19685.5120
2025.05.04 13:02,19645.9990,19645.9990,19644.8810,19644.8810,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:03,19644.8540,19644.8540,19643.7880,19643.7880,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:04,19643.7780,19643.7780,19642.6490,19642.6490,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:05,19642.6410,19642.6410,19641.5200,19641.5200,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:06,19641.4940,19641.8290,19641.0650,19641.1300,59,1.8870,0,19683.6250,19685.5120
2025.05.04 13:07,19641.1170,19641.1170,19639.9420,19639.9420,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:08,19639.9190,19660.3340,19638.9640,19660.1620,58,1.8870,0,19683.6250,19685.5120
2025.05.04 13:09,19660.1560,19660.1560,19658.8970,19658.8970,57,1.8870,0,19683.6250,19685.5120
2025.05.04 13:10,19658.8750,19658.8750,19657.7800,19657.7800,59,1.8870,0,19683.6250,19685.5120
2025.05.04 13:11,19657.7420,19682.3420,19657.2040,19681.7700,59,1.8870,0,19683.6250,19685.5120
2025.05.04 13:12,19681.7220,19681.7220,19680.6350,19680.6350,59,1.8870,0,19683.6250,19685.5120
2025.05.04 13:13,19680.6110,19680.6110,19679.4310,19679.4310,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:14,19679.4250,19679.4250,19678.3770,19678.3770,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:15,19678.3680,19678.3680,19677.2620,19677.2620,58,1.8870,0,19683.6250,19685.5120
2025.05.04 13:16,19677.2620,19677.2620,19676.1330,19676.1330,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:17,19676.1190,19676.1190,19674.9760,19674.9760,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:18,19674.9320,19674.9320,19673.6270,19673.6270,59,1.8870,0,19683.6250,19685.5120
2025.05.04 13:19,19673.6250,19673.6250,19672.5510,19672.5510,59,1.8870,0,19683.6250,19685.5120
2025.05.04 13:20,19672.5510,19703.5360,19672.2840,19702.8400,58,1.8870,0,19683.6250,19685.5120
2025.05.04 13:21,19702.8150,19702.8150,19701.6190,19701.6190,59,1.8870,0,19683.6250,19685.5120
2025.05.04 13:22,19701.6110,19701.6110,19700.4730,19700.4730,59,1.8870,0,19683.6250,19685.5120
2025.05.04 13:23,19700.4640,19700.4640,19699.2650,19699.2650,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:24,19699.2350,19699.2350,19697.8540,19697.8540,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:25,19697.8490,19697.8490,19696.7140,19696.7140,58,1.8870,0,19683.6250,19685.5120
2025.05.04 13:26,19696.7060,19696.7060,19695.7370,19695.7370,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:27,19695.6830,19695.6830,19694.3300,19694.3300,59,1.8870,0,19683.6250,19685.5120
2025.05.04 13:28,19694.3230,19694.3230,19693.1770,19693.1770,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:29,19693.1340,19693.1340,19691.9580,19691.9580,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:30,19691.9300,19691.9300,19690.7510,19690.7510,59,1.8870,0,19683.6250,19685.5120
2025.05.04 13:31,19690.7400,19690.7400,19689.4410,19689.4410,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:32,19689.4140,19689.4140,19688.3660,19688.3660,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:33,19688.3380,19688.3380,19687.1640,19687.1640,59,1.8870,0,19683.6250,19685.5120
2025.05.04 13:34,19687.1590,19687.1590,19685.8930,19685.8930,60,1.8870,0,19683.6250,19685.5120
2025.05.04 13:35,19685.8910,19685.8910,19684.8020,19684.8020,59,1.8870,0,19683.6250,19685.5120
2025.05.04 13:36,19684.7640,19684.7640,19684.4700,19684.4700,13,1.8870,0,19683.6250,19685.5120
