Datetime,Open,High,Low,Close,Volume,Spread,RealVolume,Bid,Ask
2025.05.04 03:00,58005.0000,58005.0000,57979.0000,58002.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 03:15,58003.0000,58005.0000,57970.0000,57970.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 03:30,57971.0000,58005.0000,57970.0000,58000.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 03:45,58001.0000,58070.0000,57987.0000,58044.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 04:00,58043.0000,58392.0000,58039.0000,58380.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 04:15,58379.0000,58392.0000,58346.0000,58348.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 04:30,58349.0000,58375.0000,58346.0000,58354.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 04:45,58355.0000,58371.0000,58289.0000,58312.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 05:00,58311.0000,58501.0000,58297.0000,58499.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 05:15,58498.0000,59013.0000,58484.0000,59008.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 05:30,59009.0000,59162.0000,58994.0000,59152.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 05:45,59153.0000,59162.0000,59139.0000,59140.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 06:00,59141.0000,59162.0000,59017.0000,59023.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 06:15,59022.0000,59046.0000,59017.0000,59019.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 06:30,59020.0000,59043.0000,59017.0000,59025.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 06:45,59026.0000,59046.0000,59017.0000,59039.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 07:00,59040.0000,59139.0000,59040.0000,59133.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 07:15,59134.0000,59139.0000,59105.0000,59125.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 07:30,59126.0000,59133.0000,59105.0000,59121.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 07:45,59122.0000,59122.0000,59015.0000,59022.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 08:00,59023.0000,59058.0000,59022.0000,59054.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 08:15,59053.0000,59058.0000,59027.0000,59032.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 08:30,59031.0000,59049.0000,59015.0000,59022.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 08:45,59023.0000,59029.0000,59015.0000,59018.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 09:00,59019.0000,59058.0000,59015.0000,59054.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 09:15,59055.0000,59058.0000,59034.0000,59036.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 09:30,59035.0000,59195.0000,59031.0000,59156.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 09:45,59157.0000,59195.0000,59146.0000,59160.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 10:00,59161.0000,59192.0000,59151.0000,59170.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 10:15,59169.0000,59195.0000,59160.0000,59182.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 10:30,59181.0000,59195.0000,59173.0000,59188.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 10:45,59187.0000,59195.0000,59156.0000,59186.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 11:00,59187.0000,59188.0000,59146.0000,59148.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 11:15,59147.0000,59179.0000,59146.0000,59158.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 11:30,59157.0000,59177.0000,59149.0000,59160.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 11:45,59161.0000,59185.0000,59146.0000,59172.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 12:00,59171.0000,59187.0000,59151.0000,59182.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 12:15,59181.0000,59195.0000,59155.0000,59158.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 12:30,59159.0000,59195.0000,59157.0000,59162.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 12:45,59163.0000,59189.0000,59146.0000,59186.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 13:00,59187.0000,59195.0000,59158.0000,59170.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 13:15,59171.0000,59192.0000,59146.0000,59150.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 13:30,59149.0000,59162.0000,59040.0000,59073.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 13:45,59072.0000,59106.0000,59063.0000,59091.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 14:00,59090.0000,59201.0000,59084.0000,59185.0000,900,0.0010,0,59331.1000,59333.8000
2025.05.04 14:15,59186.0000,59201.0000,59168.0000,59191.0000,900,0.0010,0,59331.1000,59333.8000
